service,requests,avg_processing_days,resolved_requests,citizen_satisfaction,digital_adoption_pct,staff_count,resolution_rate_pct,requests_per_staff,service_efficiency_score
Street Light,458,3.96,446,4.58,94.5,16,97.4,28.62,106.45
Birth Certificate,328,9.25,128,2.58,90.3,17,39.0,19.29,9.82
Water Complaint,418,9.17,364,4.18,47.7,22,87.1,19.0,18.94
Property Tax,300,2.99,278,3.75,31.0,6,92.7,50.0,36.04
Water Complaint,270,5.13,251,3.03,93.5,4,93.0,67.5,51.36
Property Tax,80,3.42,136,3.38,64.1,13,170.0,6.15,107.7
Birth Certificate,67,3.28,123,2.92,66.7,21,183.6,3.19,109.02
Income Certificate,174,1.12,177,3.91,76.5,22,101.7,7.91,271.61
Street Light,240,6.1,373,2.43,71.9,5,155.4,48.0,44.51
Birth Certificate,367,5.17,426,2.21,94.2,22,116.1,16.68,46.75
Street Light,307,1.25,408,3.96,94.2,24,132.9,12.79,396.61
Pension Request,457,3.22,390,2.74,89.0,17,85.3,26.88,64.6
Income Certificate,72,8.7,362,2.4,73.3,8,502.8,9.0,101.67
Income Certificate,87,2.88,218,3.31,84.5,14,250.6,6.21,243.37
Birth Certificate,446,2.06,334,2.34,76.0,22,74.9,20.27,64.66
Income Certificate,101,5.06,187,4.68,69.0,11,185.1,9.18,118.13
Property Tax,255,9.38,232,2.28,38.7,8,91.0,31.88,8.56
Income Certificate,332,2.91,469,3.82,85.2,15,141.3,22.13,158.03
Street Light,138,6.65,193,3.43,85.8,6,139.9,23.0,61.91
Street Light,211,7.43,185,4.08,72.6,4,87.7,52.75,34.96
Street Light,399,2.87,92,3.12,85.8,24,23.1,16.62,21.55
Street Light,253,7.14,313,2.63,74.3,12,123.7,21.08,33.85
Property Tax,74,4.0,422,4.95,44.1,12,570.3,6.17,311.23
Water Complaint,488,6.3,301,4.55,48.6,19,61.7,25.68,21.66
Pension Request,266,6.31,328,4.61,44.6,16,123.3,16.62,40.18
Birth Certificate,140,5.46,428,2.9,55.7,13,305.7,10.77,90.44
Street Light,470,1.59,408,2.31,32.6,10,86.8,47.0,41.11
Income Certificate,170,8.07,416,3.05,72.0,11,244.7,15.45,66.59
Street Light,296,3.59,159,3.7,52.9,13,53.7,22.77,29.28
Income Certificate,44,2.42,219,3.11,74.6,18,497.7,2.44,477.15
Pension Request,257,1.15,425,4.52,56.2,7,165.4,36.71,365.35
Pension Request,294,5.94,152,2.96,76.3,8,51.7,36.75,19.66
Pension Request,437,6.69,57,4.9,53.2,15,13.0,29.13,5.07
Income Certificate,398,0.94,200,3.48,47.7,14,50.3,28.43,88.83
Street Light,322,5.26,467,4.56,63.7,9,145.0,35.78,80.07
Pension Request,432,2.77,395,2.74,77.1,11,91.4,39.27,69.71
Property Tax,246,6.41,399,3.35,53.7,10,162.2,24.6,45.52
Income Certificate,54,2.32,46,4.16,93.7,19,85.2,2.84,143.15
Income Certificate,385,6.81,262,2.59,32.7,3,68.1,128.33,8.47
Street Light,81,4.16,182,2.57,58.4,6,224.7,13.5,81.07
Income Certificate,419,8.95,62,4.91,95.8,6,14.8,69.83,7.78
